OID_;MGRS;date;area;mahalla_id;Region;District;longitude;latitude;checked;geom
0;42TWL 13888 58981;06.07.2025 0:00:00;1359;1727237007;1727;1727237;69.1656036;41.1819992;0;0106000020110F0000010000000103000000010000000500000000B37BBE035F5D416891EDB029395341208E7529115F5D41086822401A395341FC87F41B065F5D4100B37B92103953416C09F9B0F85E5D4110F241032039534100B37BBE035F5D416891EDB029395341
1;42TWM 60411 09076;06.07.2025 0:00:00;567;1727224041;1727;1727224;69.7253036;41.6310997;0;0106000020110F00000100000001030000000100000005000000304CA68ED79B5D41D8D7812F377A53410C2428AEDB9B5D41A8ADD84B3D7A5341849ECDCEE69B5D4160DC46BB357A5341186A4DAFE29B5D419006F09E2F7A5341304CA68ED79B5D41D8D7812F377A5341
2;42TWL 31316 38495;11.06.2025 0:00:00;72;1727401017;1727;1727401;69.3722992;40.9970016;0;0106000020110F00000100000001030000000100000005000000687AF1C07E755D416D843105731E5341098F29E583755D4152910B1D6C1E5341C4978B577E755D416D73A4F2671E53413EDF513379755D4149CCCBDA6E1E5341687AF1C07E755D416D843105731E5341
3;42TWL 31826 38437;11.06.2025 0:00:00;108;1727401017;1727;1727401;69.3784027;40.9964981;0;0106000020110F00000100000001030000000100000005000000759D9F9023765D41D20ADDE35D1E5341E1BA79D42C765D4116688AD95D1E5341F1828CCE2C765D41E3D5BC7C581E53416C09B48A23765D412E770F87581E5341759D9F9023765D41D20ADDE35D1E5341
4;42TWL 16121 36977;01.06.2025 0:00:00;441;1727253028;1727;1727253;69.191597;40.983799;0;0106000020110F000001000000010300000001000000050000008416546BDA615D41D089304C8F1C53418CB14D0BDF615D416F1392FF841C5341A0165738DA615D4170FABED0821C5341B2D75B98D5615D4170A95A1D8D1C53418416546BDA615D41D089304C8F1C5341
5;42TWL 40717 31286;10.06.2025 0:00:00;396;1727253031;1727;1727253;69.4837036;40.9317017;0;0106000020110F00000100000001030000000100000005000000082CFF3999815D41C3B5C2960F1553410CCC3B45A3815D41309EFE1405155341F8977E759D815D413904D87BFF1453410E54406A93815D4154869AFD09155341082CFF3999815D41C3B5C2960F155341
6;42TWL 45724 79168;10.06.2025 0:00:00;1800;1727239017;1727;1727239;69.5467987;41.3632011;0;0106000020110F00000200000001030000000100000005000000266CF33283885D41151E59735B5353413D70127E73885D41163E18CF24535341532F23C563885D412BB0CE5C295353416B7CF07973885D411A101F0160535341266CF33283885D41151E59735B5353410103000000010000000500000024E5E72882885D412503338E73535341A2188DED77885D410265F10772535341263584F472885D41211317A993535341F47CEA2F7D885D4137455C2F9553534124E5E72882885D412503338E73535341
7;42TWL 06004 22105;16.06.2025 0:00:00;639;1727206012;1727;1727206;69.0711975;40.8499985;0;0106000020110F000001000000010300000001000000050000003AB431D5C1545D41B2EBC57A4F09534192FA6C9ECA545D413E4AE260410953412275D8DBC5545D41189EC0633E095341E48A9B12BD545D4160F2A07D4C0953413AB431D5C1545D41B2EBC57A4F095341
8;42TWL 03220 56554;16.06.2025 0:00:00;117;1727259022;1727;1727259;69.0379028;41.1601982;0;0106000020110F00000200000001030000000100000005000000F802262A27515D415482B802FC355341E279895B18515D41B98318F9ED355341C1DC54ED14515D414371899EF1355341BE09F3BB23515D415DD22AA8FF355341F802262A27515D415482B802FC355341010300000001000000050000004403ABE235515D410AACB584FA35534131D11CD230515D415C32A70FF8355341FF0053F52D515D415F3E9601FE3553411833E10533515D41391DA576003653414403ABE235515D410AACB584FA355341
9;42TWL 06042 20656;22.06.2025 0:00:00;279;1727206013;1727;1727206;69.071701;40.8368988;0;0106000020110F000001000000010300000001000000050000001F708297CC545D417ADA9CBA6F075341ACF0A6C9D5545D416A1BD41163075341B764188ED2545D4107690AB4600753414440F25BC9545D41FB59D25C6D0753411F708297CC545D417ADA9CBA6F075341
